ID de CHIP;ID de catálogo;ID de catálogo;CONFIGURATION;URL;ID de CHIP;ID de CHIP;LAYOUTDATA;ID of a Catalog;IS_READ_ONLY;Cronomarcador;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:ET090MQ7F1QSFNP41UR69H85T;X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA;ET090MQ7F1QSFNP41UR69H85T;"{""tileConfiguration"":""{\""display_icon_url\"":\""sap-icon://Fiori2/F0410\"",\""display_number_unit\"":\""\"",\""service_url\"":\""/sap/opu/odata/sap/TRV_MTE_SRV/TravelExpenses/$count?$filter=Status%20eq%201\"",\""service_refresh_interval\"":0,\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#EmployeeExpenseReport-manage\"",\""navigation_semantic_object\"":\""EmployeeExpenseReport\"",\""navigation_semantic_action\"":\""manage\"",\""navigation_semantic_parameters\"":\""\"",\""display_search_keywords\"":\""Expense Report, Travel\""}""}";;X-SAP-UI2-CHIP:/UI2/DYNAMIC_APPLAUNCHER;;;;;31/5/2019 14:29;My Travel and Expenses V2
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:ET090MQ7F1QSFNP46L0A1ZJ4R;X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA;ET090MQ7F1QSFNP46L0A1ZJ4R;"{""tileConfiguration"":""{\""semantic_object\"":\""EmployeeExpenseReport\"",\""semantic_action\"":\""manage\"",\""display_title_text\"":\""\"",\""url\"":\""\"",\""ui5_component\"":\""\"",\""navigation_provider\"":\""LPD\"",\""navigation_provider_role\"":\""UITRV001\"",\""navigation_provider_instance\"":\""TRANSACTIONAL\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""myTravelAndExpensesV2\"",\""transaction\"":{\""code\"":\""\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\"",\""signature\"":{\""parameters\"":{\""\"":{\""required\"":false}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;31/5/2019 14:27;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZBNQLW3K0K;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZBNQLW3K0K;"{""tileConfiguration"":""{\""semantic_object\"":\""Z_SM35\"",\""semantic_action\"":\""ZAccion_SM35\"",\""display_title_text\"":\""Supervisión batch input\"",\""url\"":\""\"",\""ui5_component\"":\""\"",\""navigation_provider\"":\""TR\"",\""navigation_provider_role\"":\""\"",\""navigation_provider_instance\"":\""\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""\"",\""transaction\"":{\""code\"":\""SM35\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\"",\""signature\"":{\""parameters\"":{\""\"":{\""required\"":false}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;23/6/2022 20:06;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZD5N7BEYAG;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZD5N7BEYAG;"{""tileConfiguration"":""{\""display_icon_url\"":\""\"",\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#Z_SM35-ZAccion_SM35?sap-ui-tech-hint=GUI\"",\""navigation_semantic_object\"":\""Z_SM35\"",\""navigation_semantic_action\"":\""ZAccion_SM35\"",\""navigation_semantic_parameters\"":\""sap-ui-tech-hint=GUI\"",\""display_search_keywords\"":\""SM35\""}""}";;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;;;;;23/6/2022 20:07;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZECIWABORD;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZECIWABORD;"{""tileConfiguration"":""{\""semantic_object\"":\""Z_SP02\"",\""semantic_action\"":\""ZAccion_SP02\"",\""display_title_text\"":\""Visualizar órdenes SPOOL\"",\""url\"":\""\"",\""ui5_component\"":\""\"",\""navigation_provider\"":\""TR\"",\""navigation_provider_role\"":\""\"",\""navigation_provider_instance\"":\""\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""\"",\""transaction\"":{\""code\"":\""SP02\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\"",\""signature\"":{\""parameters\"":{\""\"":{\""required\"":false}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;23/6/2022 20:07;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZF9CW6KBA4;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZF9CW6KBA4;"{""tileConfiguration"":""{\""display_icon_url\"":\""\"",\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#Z_SP02-ZAccion_SP02?sap-ui-tech-hint=GUI\"",\""navigation_semantic_object\"":\""Z_SP02\"",\""navigation_semantic_action\"":\""ZAccion_SP02\"",\""navigation_semantic_parameters\"":\""sap-ui-tech-hint=GUI\"",\""display_search_keywords\"":\""SP02\""}""}";;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;;;;;23/6/2022 20:08;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZG8A8UI90G;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZG8A8UI90G;"{""tileConfiguration"":""{\""semantic_object\"":\""Z_SU3\"",\""semantic_action\"":\""ZAccion_SU3\"",\""display_title_text\"":\""Actualiz.datos propios usuar.\"",\""url\"":\""\"",\""ui5_component\"":\""\"",\""navigation_provider\"":\""TR\"",\""navigation_provider_role\"":\""\"",\""navigation_provider_instance\"":\""\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""\"",\""transaction\"":{\""code\"":\""SU3\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\"",\""signature\"":{\""parameters\"":{\""\"":{\""required\"":false}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;23/6/2022 20:08;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZH0LECFHUS;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZH0LECFHUS;"{""tileConfiguration"":""{\""display_icon_url\"":\""\"",\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#Z_SU3-ZAccion_SU3?sap-ui-tech-hint=GUI\"",\""navigation_semantic_object\"":\""Z_SU3\"",\""navigation_semantic_action\"":\""ZAccion_SU3\"",\""navigation_semantic_parameters\"":\""sap-ui-tech-hint=GUI\"",\""display_search_keywords\"":\""SU3\""}""}";;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;;;;;23/6/2022 20:09;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZI1MY1D9VB;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZI1MY1D9VB;"{""tileConfiguration"":""{\""semantic_object\"":\""Z_SU53\"",\""semantic_action\"":\""ZAccion_SU53\"",\""display_title_text\"":\""Evaluación verificación autorización\"",\""url\"":\""\"",\""ui5_component\"":\""\"",\""navigation_provider\"":\""TR\"",\""navigation_provider_role\"":\""\"",\""navigation_provider_instance\"":\""\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""\"",\""transaction\"":{\""code\"":\""SU53\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\"",\""signature\"":{\""parameters\"":{\""\"":{\""required\"":false}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;23/6/2022 20:09;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS:003YPO0NJDZNTQJZIQB6G4EVS;X-SAP-UI2-CATALOGPAGE:ZBC_CAT_GENERICAS;003YPO0NJDZNTQJZIQB6G4EVS;"{""tileConfiguration"":""{\""display_icon_url\"":\""\"",\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#Z_SU53-ZAccion_SU53?sap-ui-tech-hint=GUI\"",\""navigation_semantic_object\"":\""Z_SU53\"",\""navigation_semantic_action\"":\""ZAccion_SU53\"",\""navigation_semantic_parameters\"":\""sap-ui-tech-hint=GUI\"",\""display_search_keywords\"":\""SU53\""}""}";;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;;;;;23/6/2022 20:10;
